ROUTE,TOTAL_FLIGHTS,CANCEL_RATE,DELAY_RATE,AVG_ARR_DELAY_MIN
ABE-ATL,994,0.0030181086519114,0.1334681496461071,13.7633973710819
ABE-BNA,139,0.0071942446043165,0.1884057971014492,14.601449275362318
ABE-CLT,1098,0.0081967213114754,0.1061865189289012,10.282548476454291
ABE-DEN,58,0.0172413793103448,0.1578947368421052,10.736842105263158
ABE-FLL,95,0.0210526315789473,0.3655913978494624,42.98924731182796
ABE-MLB,13,0.0,0.0769230769230769,2.076923076923077
ABE-MYR,161,0.0,0.0559006211180124,2.5341614906832297
ABE-ORD,674,0.0089020771513353,0.2398190045248869,31.60633484162896
ABE-PGD,204,0.0098039215686274,0.193069306930693,15.198019801980198
ABE-PIE,255,0.0,0.1529411764705882,13.098039215686274
ABE-SFB,614,0.001628664495114,0.1590163934426229,14.947540983606558
ABE-SRQ,104,0.0,0.1442307692307692,11.528846153846152
ABI-DFW,1359,0.0125091979396615,0.1357196122296793,10.731543624161072
ABQ-ATL,1001,0.0049950049950049,0.1034136546184738,8.133534136546185
ABQ-AUS,1250,0.0104,0.1932093775262732,10.47615198059822
ABQ-BUR,355,0.0056338028169014,0.2085714285714285,11.874285714285714
ABQ-BWI,167,0.0059880239520958,0.3373493975903614,15.837349397590362
ABQ-DAL,1725,0.0115942028985507,0.164407778432528,10.391278727165586
ABQ-DEN,2764,0.0155571635311143,0.1938098747236551,14.211495946941785
ABQ-DFW,2255,0.0133037694013303,0.2095538530869761,20.42136097341145
ABQ-EWR,11,0.0,0.1818181818181818,7.181818181818182
ABQ-HOU,940,0.002127659574468,0.1307609860664523,7.05037513397642
ABQ-IAD,11,0.0,0.0909090909090909,4.545454545454546
ABQ-IAH,607,0.0115321252059308,0.1755852842809364,12.777591973244148
ABQ-JFK,217,0.0506912442396313,0.4207920792079208,45.01485148514851
ABQ-LAS,1985,0.0095717884130982,0.2264631043256997,15.232569974554709
ABQ-LAX,2380,0.0,0.1151744430432955,7.794451450189155
ABQ-LGB,109,0.0,0.0825688073394495,4.073394495412844
ABQ-MCI,245,0.0040816326530612,0.3319672131147541,13.979508196721312
ABQ-MCO,29,0.0,0.1724137931034483,15.03448275862069
ABQ-MDW,392,0.0153061224489795,0.1588541666666666,10.4765625
ABQ-MSP,206,0.0145631067961165,0.0935960591133004,7.275862068965517
ABQ-OAK,299,0.0,0.0503355704697986,3.26510067114094
ABQ-ORD,815,0.007361963190184,0.1757425742574257,14.00618811881188
ABQ-PDX,155,0.0193548387096774,0.2171052631578947,10.848684210526317
ABQ-PHX,2986,0.0043536503683858,0.1693032648939751,14.328172332547965
ABQ-SAN,617,0.0048622366288492,0.2173202614379085,11.705882352941176
ABQ-SAT,10,0.0,0.3,9.1
ABQ-SEA,466,0.0085836909871244,0.193058568329718,11.249457700650758
ABQ-SFO,478,0.00836820083682,0.1797040169133192,14.97463002114165
ABQ-SLC,1046,0.0047801147227533,0.0720461095100864,8.226705091258406
ABR-MSP,725,0.0193103448275862,0.0829817158931083,10.617440225035162
ABY-ATL,814,0.0024570024570024,0.1098765432098765,13.328395061728395
ACK-BOS,184,0.0489130434782608,0.2971428571428571,29.165714285714287
ACK-CLT,10,0.0,0.5,29.0
ACK-DCA,281,0.0533807829181494,0.2509505703422053,20.098859315589355
ACK-HPN,139,0.0647482014388489,0.1769230769230769,20.99230769230769
ACK-JFK,444,0.0653153153153153,0.3108433734939759,32.35421686746988
